recipient,amount,signature
ARPqNbZsSEhzYUoHnbsYFFsXH2uLiP8hpZBPimfsrr27,1736.208983,2NdZNzZ8HFQ4zDSyibFPqpd2umLUS2dhLUkp6qpPCzffcyZ3GG3YZ8rvLaGySapmDqPgSFXzJY8h3WnHFnF1XhpD
7ZsB85RRYN7zAE4FUrdbN2kVUyFJryj4PfX4YbPKb6C2,0.070133,22xoJtL2cqtf8bBkyuXi2fAAoD5cetDkUSf66XGkbMFo1MzDMMpGePyP84WKRokDpS2ZL9HDteD4kh3fLBHSs6JK
2G3px1cxpjvThsC68hHX6osRD494GMFDNSrRyMKGB12w,0.010893,5voiL5SjPLsHNhH3dySPXiSqrdCU164AM5vdNR1HaKhvR1EKsZdcyDaSLqPkdDKFeoBy8yYcEPpA4a7gDWDzYGN7
E5A7uzhMyGzL6hHUXaC2QVxoNmh8pRm6HhK16TRTvdGx,0.275427,23Vgiam2CdR84s8nZQhfD2bFcXYVZaHWJpEAM5N5i9e8fWGJxAthyRYiCDPJuJHhETUTuGDAu8gMQcCxkLeinWun
DvitucAxxBKZFSMBUzKvxvuAu5Hhn5zZV3Wuk8Vg4YnX,0.160007,seKSu2V4C6J5wEpacbAhQc3SJpk1nSfvJi7cNpf2tutC2yGpueFjnkGFhsYHmWmB4sdda8iN6P4pVyEHpu2n2ei
ApJ48xWtb3qmppDMGwvRxdnf4utH2rYoW6pFyd8Ynzud,0.749577,5yArymKaMnS58E9HsMGibnrTc3rs2qAP8iBhTWrM6FSRF6CjUGMzFj1ypuLTtp5xdyYky5CGBhY2xWo16VnxhVNB
6jDcLen2PyefLkgBBGwHqyDmxbs5DScb9uzsQA4Upu1x,0.276611,2KVUJkEfeKz8j1qcUVC8FUwmxFV9r2DVb9ANWdSkQRME1PfwdaXJ98EtnRnXwBDw5erebgRkzXsEXznBXLMC3iPD
EPwSitK3GJ3MKzR5kUMG5MZZHSQmbgKE982BeiJC1DKH,0.230509,4wgRFW9qrpK8PDMohd4vRSanboqp3PFoXDHtDQmcj4qFGoQqdfV72J3oRuggrpDNKJUfC2fzWdo4XMPRzmhJ8Syj
72mWeedjFZKeBdkHAq1AkAAHDeRA1h9hhWqbiWsPESDM,0.139893,3BcviyNKRmASV9a1k9TcGEcYXZRDYTAHNBfvSUgAURgy56e2FREASAMneNs56Rjz4QmZrr7Le7cH8LCFXgoFkawL
E57W5yRETjBERoLgFmoK65jnQT4YX6Dz8oCQFoEFNVrD,10.540448,3stAwCBE9V7qGjsdn4X8Zj8Shx2GLaZ2RuWFLoT4m9bib7CybABAnqShXQ4t2SfLBG2FH4ydWh56z26PoELpPnYr
9j44gJKCw1NVVthxkbs7LPfsnxzeQneTzB1qEiMu8QWB,1.107001,KcBu1hfnAgmQxBcGHiz7dGBpz4MAkpR4s9tmWhYTYwGUjWJwGyKgYSroY3E7tEgFc5QjnRJWRrzsSiPB5c35N2u
7nvnBxw4w94zcUWRwk1sZsCzWZ7L7QKrB95BNX8uw8Tx,0.503431,5C48iWzNF2sbfFCtGkFyz48FA7bGByme4WxGc4JGsFKUxepqjha7MLEkm76srD8fnnemXE9xvPfVC9UMgw8Hfxut
2y4s93Af49FgwEUuKcfZd6esKYeouJbE3FakmidahKAy,0.479458,2gwEhZrWqo88Ey1Q1vJTfurRnpHnpJYPrLDXpdTaorkiZH3tBbDbZkR6ETXSTReG9XKiZ1B9HrejnYGGLFszfbRA
DoJBWqGKCJBG2WzMooAZ45hBAH1TbyCANnaQi9UbS14d,10.022664,5mRoGdKzhPxyxmpcxURBp8kYAhsoTriSV9bqKFaWD3GqnMhvkr6ikKUgTTUVK6a3LbgtD7PswuVhAULrpRws7m7g
HuGwb1FyQGQZyjCb44sXxzzrkE1ebwiih6WgysRj4sKp,0.020739,3UWMQhuHyN9rabs2KQSWRCUmD1J59RjwC5GcS9iBusnUQU4bYrgmoqLx6XNrbhjCtqzjyyeXP6amPc5ioE79hPhb
GmRC6EhKtBEcKM1bjCBzamWDy3qmP5z2Kc9tYjQuc2Pn,333.535230,3m86LJpUJtRzVPqPq1YMJnd7GC1zLYRBkAXm86cysrn7c49zPzweqkgP7bZVUZoQPwRwK2QegoaoANMuuWHBtnkZ
48Z8Ps9RgZKPN7LMqkLHnwJyiaXjayi2ZGAvmM8FBjgr,0.839612,oucr1NsHjkc3Vpr5qptjCR1Vhr2QsHBnM9iP53NPKiNr9PCbf7dToRV2u8nTCsWNdmfyFmDYNkorwHeNDqouV3b
EaQhgTZeaFoZhHjKF2V3D15gm7H8kUPseXCzhinpTJZX,0.021770,2RnBskUKp1zKFw8CHb7iaFbRCogMzajBmuoTFg38tYcr7uDKrfsAorq8ajGFe5n5hfA9tBEv2QLxMhXbvNdUtzEg
9vTVgL5yTaRSj1QThL3jViVdwZTiwvPzqsFs4eHdjZjf,0.113091,3THPNVVj7gG2XiN9nJwnvvVTwkpGyC7Ftw9uxV1hMVn9wkutLj5q2bPqkd42ieSYwTJHG3nzkFv2S8f4LTxVdWdD
F5ZexYETPyoHMgLYTRhWwxUz7XuuPDJxaYAsyLtkKaLm,0.082627,59zmkvt4S9MKtraB1P7SoRcS21JUYGevscdR4pNbrDQnsQ2R75TUzgWfoRUAVF8YQdHrg8quX4gQNqnh74M5Cpd6
C3uTCFAHdmj3ym18vHduh4bNZysJMJJrdH288Dt37acN,0.032036,25XMnjDQeFfUoemgsNz5u4TpZH9g3cc4MfGbhPUWy4JjczcEpZGeB9L2YXFvJizt5EniEZZzNFx2FiyJSo2vWNH4
BMQBRWrzUq6LE5fqLDjT1LNwau8keAJdgoFSjGkNhF8u,0.184947,44bgQPXrPVL8o7yF3bDoPwjBDgeNNDubew8wiZLSGbVy4rc8CSCPycVdsEDQipNhUV5myjauPmiMur2XKSsuPGWh
CSAePa5sHfKqdqxg5W5rR1JXR6qGY8Weur2Wy2364Ux,0.004743,4uoZQv6ZVyhzigYUG3TBhDqkLRjvp9c1hDhqJk9LwnDFPvh7ZDNNZ8pXsjGu3Vxo6wPdLDjgQ4bFRdz6NEYR9gWP
8vSG4Ytdj1WfJEtnu2mGUhd45ymzk6Km2VcqBU6vkNiN,0.248213,5KbfJccGEHTUaaa9Pq7QFApn5XsfBhbNJTGCD79mJFNoKT7BfoVeiFwtkyW3z6uuq4LVfQGGeSdXM22iALqvJNg8
C47HMj1JtzVnR5PXM6QwJH5h39BoVcYdLF7bU93Up7pQ,5.099724,3b23hrFznxLE13MV7m9DKHzBPsMjCRBFEhFkLuZzyjEwQdpM1U8VULnWL3S8UyUCCqXTsi9AJEXVuunaW6s1WAQD
HCi5ECMmU9AYzYGT8Vc85x5jMopzRkPsTe1DKU49qjAr,0.046237,KgcL7KEbW3JMH2YjYfpvW9rSPqQYqiARUoHqBpwJqvj4nCgXGxpdMq7XqCHdR9wvawdLRU2jFKv6ypY6ya5k7mb
CVCGiQsXMMydmBgUjMnYzu5EgvDhNgtZTNGLew6Snc22,0.323939,2TWooRgGiDS7yQxjEowcYGB42iWJ2gZgApB6UL1NX3DaCC98tRyAtpkjgrCvRiewzqctg8m75JKo7wcQNvKWHd8F
6fY8f3q655qzHK8oHxP2qkhFh4C1NMVz1CyXvCTAC22a,0.000268,3CUKbsneSQ9hnjrUyftt7gNfauLFyT6ixaUfuKHhMju7WkFjwwHtPVaabYjbYNBStswX4G5TXhzzXQyKzkno8ALW
AXbQitCaWKatQ7oRbXJbB3ZqpY2SZK4uQhRfGm3Ch7Mi,0.116625,2FNmTNiCrcSHfH6Ysz79Es9jSXVNfUeJYdTTanps5JargfNsNfcycVdjtyftbaEQoosvhNfGTpm8HgCZvRL87H5X
6QyXjmR78n1WBqo5BDYv1mwqeUiWLpLyaYgvBYLA642i,40.290349,2mD3xi9JXPAibHsF5HQpevxFqBRFvsJviJxZrcU8VPyQUKBYMLv6KpTbsYaL9qpejihZP7R8pMfjUWmqb1UQ2PGJ
FYxgogX8q69AaWgXiwh9HY9CaLQRZMvdNNGHNzPBwxWz,0.093941,2amPz9sDz2TkMkEr5oiyHmqkYvKhpU8tgCnPQCWJtDSniU8ZPRrB9vqDGYaihrWWuqydf6467SqUQZ9ad2pv3bTY
5rP73cXjGRT9wBtj1GE4QJnv9LaUZMTVKdzTZkTQ4YNn,0.561481,3AR4AidcoFQroonf8Ahqdj9QRNKqrxqjeF54KVZnnSJmXqxFrkjfkFNEP98HKi4eru9FfRzY3pk1cebo7GTVgpxS
