recipient,amount,signature
3eY5AyAazQnDqdHocdAvW9215SbwyfBPwAQAS8bhgtjJ,0.096773,2gnhxEiVRZjNLPdK6SiAZhdWtDj2jUUL12ekxxJwmH3mCNT836fVNKkWN5xtsmDMjCHrzvr2JGEfw5J9TLvZr92a
HCi5ECMmU9AYzYGT8Vc85x5jMopzRkPsTe1DKU49qjAr,0.037955,4F2PKHLYXFHceCq3VKcKJuhkRf2SKVUkC9zMcBoneqpAnMCFHRpHqofncc9pjVZ9GEupevYkvKGbx2PhSGa2PiDe
CVCGiQsXMMydmBgUjMnYzu5EgvDhNgtZTNGLew6Snc22,0.265914,2J24pvuJab2mqTgQH7C7WxTKXPRDNG7rX79kBUJeenrhqEzReqmSSitL2yqcrazFsED6QovqrLT3acex3TBPwzo2
6fY8f3q655qzHK8oHxP2qkhFh4C1NMVz1CyXvCTAC22a,0.000220,3szDXNfbdu8vbV1ugZdESwW9R1QJhc6qJ6hknhFEXbR4xUKbkq2yx1CtnSvrma8dukdtTH1fJdda1vp43s3e28NF
AXbQitCaWKatQ7oRbXJbB3ZqpY2SZK4uQhRfGm3Ch7Mi,0.029584,3ovBHBRvkwagc6QLJ5Hy5PFUgvdpUFWR3nXDehMgsiPFBrr63soBq7HDfrt36BNbdGoLWvV2KP8gu2ozggXt9QZM
6QyXjmR78n1WBqo5BDYv1mwqeUiWLpLyaYgvBYLA642i,33.073384,42GSgouZVf6jAWWifs1QEAC9XEGRQL6z8Z1papNSYZw4yE6GUyELL2x98dkvMTJ3Dg4p17v9qVHHjZU6UWbhTS5L
FYxgogX8q69AaWgXiwh9HY9CaLQRZMvdNNGHNzPBwxWz,0.077114,5z18qEWnr1HMnuENuXRwmXJuooU6uJ8a4SVZKADfBLNizA282WkboouckRNHtLeBDTs2m7HDS8tNN2uU1gpyTHK6
5rP73cXjGRT9wBtj1GE4QJnv9LaUZMTVKdzTZkTQ4YNn,0.460907,2gcKZBfhDEmBKa7ks4uQCqwBWeeSbqL93Hup1wiE2EvhHVsrSRhpoK7CbtPer5GS1UdPFtmzL7RWyJL4q8R4Foih
Gq41eMcQWXFeiQuVeCz4Kakh95d6c5JVSWaMVWQKx2aG,1.232451,5LnfR5S9gEeKMxfBQcCd2sXpvZf7a6NtR9kD1SLABoBfjzXFpHWeq5kXJ4ofibJwp6q5t7t22itL6rhUcEELxk6p
71YVFiaMmfRK3YuRr4MeLh4yof44ZqnsiW67wLjBRcGW,0.060652,48zRrRiMe5tHaaBZchdM6M9VwXwnKmz2xE1ivzP1TChsPmqaQWrBgKyF3uNCwCtxWuEw697h7UcnwVLigkkP93v
CrCAbxWzreCyoRonJwcEYt4iy8WVEs6CX2aj1q4VBpff,0.000531,3h1VMYS24HYrB9R7aZDExZhCEiAa16RvpN1MuvWo3quZGMEACXHBC8vY2doKbbpZD7sSuSY4wWh47fS6oF8uwbWQ
EeSTsoSdeeXpezJ9fTkXrxjVC4S175uPMrEvTJozNpby,0.069723,2kcJMbC9dJaT6sUooZh4tKPdRJSgT8pzgKEW8Vba6qspd3oB3YHhB3EueHHdJWhxkRsLYQSTnBVNd25zy2ZykFW5
GFEmmXpbpptB1S6q6KyyZehC8B7eBnfehumbyKYpAgvY,2.905641,3DvoM7mXGkmF8xnbfeDtySMkjRtVpnHhuYZk5JYy2M8xW19kKxGT665jckcAKB7j69kPUQq3hgJs7E2dYTXS9n1i
ioixzp8aD1FES1ELQdpREpGCuP45yETgJjZjCy2kydH,0.147663,gEmMuZdieDHmnut5jSkjrkeYdeNURFeZpVArkmfCVHtSrDbUxQSTJkTWmHxXeizsmT5iE6rfpsMa5eq5W8kAxoo
8uZ9EM545Buh1rZrgzsGWML7gzd74jqgfnLqUmohAp8C,0.456421,4J2Dhfy3zWxqZNWw1bwWwoc4uMrvTvuBGTLHcFABokGm1tUPuaCwjpzWWwM8obG5KjdbP1oQyZ9co54kHeaYza1
E6o3NfR3H7dgFnNab5dcUzuNeDpwT3Eh3G8JFTqEavNB,0.594308,6dCuxpd5KBuaKgixdEExWq9dD4CsvND5HKkHHzF2HKPaNMJ3mVqVNYNkD7BZyuZMu8trs5KJb5HrFN1UTb8jrqB
3HUjxffDyyxedEueXAToPoQez4ysc6tJjCSz4hTZUB1v,65.409302,5NtBSCAn6uRDVx14Kkth6YzFP65uURSF77JG76X42LhefL1BY8aXWv7CSWN4noAWBMGNW3FRm4V11QGQtRzrRLVH
76AmoavbaZwKzJ64whxHouPiazV85nacyFwetYKm3igC,3.300117,2hKfh4k6hARyne2bmHPDQoPYYWdKKkcjTvy8aJHNyohD6Hp24zsz28NYyPuQnogW3jVetXQq5R3GLJXqfhMZiRSP
4zNEupjBLhsrCdRgUh8b3sSFayYyxQwPGR7S1xVUYjGr,0.076572,duRSBVx5wC3NZqtYWNB98vco195wjd5oUwsc5CiAaYF7Tr1t9gqU2hu4qm896A9XVPs8YU7tWkBgKVxVUqVqj1T
4aavG5sBvo2joqyzAsj5kmp6dQe7csCPm4ESeBEEHPq7,0.888042,5Q9h5TB7AzX589gs7whMKLTKhXPzHSBQzzK1LSMVSMJmxuU7iEzKJV4fADHxi5BEjGDJUkS15awuw6gEvbECaNct
Yx7J7sM2ntwVCsLnjaogbiRG3CYtUxNGjWjtTNQGHwX,16.134742,3Dktwx58dNYD58NSWhy6kMSnpfkH8nz9GHLwH65aZQzhycUmJ1uWt7kHKDGMK1bDdEVUsfT7CpfxW5vPWdrB7XAG
DdBHbLcA7niHDzT9xZbSVpvCuhas6bJKfrcByasMpqvB,0.495659,2jd9Tocw9x9y3VzX461fbv7o9y4bTfJcsn4XKJfZEMXXs4Uu8nbVmHh7nQMBSGJCfqigdM9SypNbcW9UTXq7pF98
97ze4dtMCe3ATWLsfBKj5gWQKTbdbSXroqTh2wzqf8RH,0.001528,3hvVDxy3CS4p4MDH7jbqAxRC2vNRa9WP1jrNv57Fig8Uy5NXp7KiZmLCWBXP9wZ6h5zouroAeRPFoLSzFyo37CCq
AR9SK3T2zNormiHKrUKCbhrnyxQz1RrtZtwqaWrDtvLg,1.066115,T5ckDBPWXThfi3izfRrjxHAJAWWiMDDwR7xEBfKHTR6FbgckVfWH11MiF5SyKAxL52rKFQ1ainvBUXj9qMvWdtD
FdMucsBig13zEc5Agn3N1u332MCwE6mghKkDPj8PtENu,0.037727,467s64ydFfov44Qk1UXFftNBtXyxgbKiRPyDDL1A8bFdivGAKozrhB5uGojEzbAHMNQGMLd3AcijHe4u6kNSMntT
9QeM1C81yWNzTPabkqXiEHvdhc6xmYa6hr9L3wRqV7TX,6.075018,2e4AxaTzipLaUcXDrkHqkN8vkWujxE8hmHAWzQuapnVcXoWhNfh3pX2dyjtGeUWvj9tc3ebHVzEAZHUecmtoANFz
651e25pn2AqrAwccSV1WkUP2f3Ci59RKgQzaXV7417zG,0.423424,5XB8eWFiekZkQJ6qnq3FHcPLLWrnGMq96mWeXfgiNMFCiNmqxzBds5S7LupPcpkEH7u43LEMA5r5pY78KFvhMLKC
2MqkKWBng5Rrc5kUAqzn2bdKW6MW9UNP9xsp4HY4HuVk,1.435982,43Lz8fC83Y6F32XhrdzGs7JCvMaPh4xAhYq6iYw7ynoZkCbkvqmK2Qoekp6V9C9FsfJ8WwSQENrg1rFzfRKPeqJ5
4JJameTnU3PUifmEWAtYp91hWfSAG89eaFd4kbQgUcXW,0.037955,53GmCX7nBFLpsVWovesK7U8g7iHzmAbRzmnGXvQXyC7NooftzGiAvQvHSwwtQSUrfBeoaZcfVbxEYXnkDZMD4pMr
HCe2qQqYtifo2jWdCtyhgE2meZUB4952L7sDddzFUNr7,0.000028,5pxYvjC1vj8NddVTnPgQsj8ZLZnHY8yXpmeQed3AHZ6SKdZ8z8bGk29CXjhUCkVKYX8Gdxjhnk1c6ASXnf4RJfox
8Cseq8EBGVvYvMa7ZoUjT8KNKGJwkuqHcBYht81xZFLG,0.078162,xBYhZeL6hpawNocVqSBSzo8CS9VE5LA59N4tEyZYVBc7SF7972img49Pk1PmXy8iAe2AZun4SgsRpmD47DcLfmJ
H3CEtETCUeauwGUhxGx6682SvR8TCq1zzoQf8Xbu1NiB,0.007659,2tAD7pP21zY4EPPbLZp6AdMUZdfyPV3vSpHA4hH59j57bB1ujKM9L9QAHhB57hPzYSFKiqA6gJrGhVqpyKUkGFas
GDxg9xetG3xna1fJ1n8Xmc6e8kBcfP4j6nDR2kSRK2Zq,1.362075,5fnVNo3diYv5kqjEjgvjt3Q65Q4MQ1BupQ3ApQRYKTtSgwW4ELZS9WiDAzKpUET2fA4fVsscNXrQwwo9rDoLsAoN
