owner,0
4Y1kLABkXqkUEhS5XYbEirbzn5JSTGSxVNhh4H1XmhjG,0.000006
71NzULc7Z9MAhU7Upa2Zv8Qqxezmf6L43YTBsPrJRx4d,0.000006
84auH4bWGCoTb33nNLcS188BbWHMB13nKwzozUzcGH5Z,0.000007
Ff9gHkJDwP6yfujzLtyZkJjWEUSh2cpziHygsviBncvp,0.000013
6x38C3XdLA44QNtWY9U8bewLsQJ3D1oJU5n1wLV9evxg,0.000014
98pR8mPy2AVSGmMNbkQbkuLNbyHFwo1FtWCzmeypLcJF,0.000015
ETpjuZxUMfittLmRT9SkM6u2RJaQgzP7ZYFe69iS1Lyw,0.000018
3YhKtvxJvfztxLtRZrobWyuMTgAV5ye9i3gmBdLzThUo,0.000022
6dHNvVMSS1jvEeptPxXZamGjdSuRVJrMe8s8MippJSiH,0.000023
6jGz5gHLj4zHL2AoPLMtQzCRUzKVtiiKdTjCCFNBHxeA,0.000023
E2zWZv4eze41PMQgMZ4Ndunny2FpzRC7ZTWiNHbyrAQm,0.000027
AXmmXbACBvSqJNQMCUCdwTtikftvKbqLgZyhBhmzvkWy,0.000031
3FjvMUhAWAEgR1XDnWA7s6ENcuyTzadThsCXes4KKzwg,0.000032
CfKbH9iW1CVinwvyb2a6wWFuaki7xQd5yWyoJR4uWn1K,0.000033
3M5NxdVQ6ZrC7QiDzrkEzeyTjp7aqxLgq38uUb7ih6fn,0.000038
7qTfR4TSHY1vwnSh7FRZqJSN341GfDkPGsaptDgnU4pL,0.000039
42v1pCEQ45WESBNLoDD457mYtpLYR6HG478ifvtNknpF,0.000045
AA7sRegd8c4BxBk7NnsvYzBiFqgYHmwbYygEouU7XN8N,0.000048
H8Pn8minEzy99QCXo35nKZH7FSbXE2EJo2rjo518pXjL,0.000050
Q31mjAS22fZgR71A2hRzA9B67EfoEKVWt9vW8oevPVH,0.000065
41GSCgb1bTwcaeLqHGuxsLpAT14eS5jLvNm7CY5s7U6C,0.000068
Ecw9dtMhNc9EDPTJjbr2d5KoABs7GEoS7Gt1xxDHSyuR,0.000074
6Cg3UrYb2PAvduo3Cf4i1tBT9zMCbLrZdgs71f1kgLNF,0.000088
7YZ8z6CJV8XJbWkQSsra5C5LqoqfRnFG3fBxnTzM6fq1,0.000096
AZKkiF1XGK2T1b6PtverQeoo3cFAQ4paMxHKK1QeSvko,0.000098
BMqCPj8hhGfjRAcc6cyhZhfeiSih6c6sL95oTmgvzPRd,0.000100
6pgK8gtvRXFfRBovrTDNTRBuiA4g7xJZ89gUwSMetaxo,0.000106
8gpJoXXcYHKKe7ZVihEmP99SRAkqEmbsEb4Qr5fqFQga,0.000109
4aS7dTtj7tssRCynJbYZSCQDvuSD5zG9hfo2QwbczrW4,0.000116
22L4LRqahGzZsS2mXjkuPmedKdP35rr31j3L1jpEDVmY,0.000120
BdWgwYAor3MreZzqcBWbFQS76awQEGMsWzCudmSQKaeT,0.000122
DyqNB7F4QxHngiYisRspsbiNtJakEAM4g1EbWeqDH32m,0.000160
7ArAmnx8qvfyd3KNJuTonaw8acQfVz3TCLt3tzosT4aX,0.000164
